group,sentence,condition,environment,png,expected
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если тот шлем, который вы дадите ему, чёрный, ему нужно дать скейтборд.",p_critical,antecedent,pic9.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если тот мячик, котрый вы дадите ему, зелёный, ему нужно дать ракетку.",p_critical,antecedent,pic11.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если те коньки, которые вы дадите ему, белые, ему нужно дать клюшку.",p_critical,antecedent,pic12.png,1
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если вы дадите ему скейтборд, тот шлем, который вы дадите ему, должен быть чёрным.",p_critical,consequent,pic9.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если вы дадите ему ракетку, тот мячик, который вы дадите ему, должен быть зелёным.",p_critical,consequent,pic11.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если вы дадите ему клюшку, те коньки, которые вы дадите ему, должны быть белыми.",p_critical,consequent,pic12.png,1
A,"На него нужно надеть наушники. Ему не нужно давать скейтборд. Но, если вы дадите ему скейтборд, ему нужно дать чёрный шлем.",control,,pic9.png,1
A,"На него нужно надеть кепку. Ему не нужно давать ракетку. Но, если вы дадите ему ракетку, ему нужно дать зелёный мячик.",control,,pic11.png,1
A,"На него нужно надеть варежки. Ему не нужно давать клюшку. Но, если вы дадите ему клюшку, ему нужно дать белые коньки.",control,,pic12.png,1
